symbol,membership_code
"005930","KOSPI100"
"000660","KOSPI100"
"402340","KOSPI100"
"009150","KOSPI100"
"005380","KOSPI100"
"032830","KOSPI100"
"373220","KOSPI100"
"028260","KOSPI100"
"207940","KOSPI100"
"329180","KOSPI100"
"034020","KOSPI100"
"012450","KOSPI100"
"000270","KOSPI100"
"105560","KOSPI100"
"034730","KOSPI100"
"012330","KOSPI100"
"055550","KOSPI100"
"006400","KOSPI100"
"068270","KOSPI100"
"010120","KOSPI100"
"066570","KOSPI100"
"267260","KOSPI100"
"042660","KOSPI100"
"086790","KOSPI100"
"035420","KOSPI100"
"298040","KOSPI100"
"000810","KOSPI100"
"009540","KOSPI100"
"005490","KOSPI100"
"042700","KOSPI100"
"000150","KOSPI100"
"006800","KOSPI100"
"015760","KOSPI100"
"010130","KOSPI100"
"011070","KOSPI100"
"010140","KOSPI100"
"316140","KOSPI100"
"064350","KOSPI100"
"051910","KOSPI100"
"017670","KOSPI100"
"011200","KOSPI100"
"079550","KOSPI100"
"033780","KOSPI100"
"138040","KOSPI100"
"024110","KOSPI100"
"267250","KOSPI100"
"096770","KOSPI100"
"272210","KOSPI100"
"003670","KOSPI100"
"035720","KOSPI100"
"003550","KOSPI100"
"307950","KOSPI100"
"018260","KOSPI100"
"047810","KOSPI100"
"086280","KOSPI100"
"278470","KOSPI100"
"030200","KOSPI100"
"000720","KOSPI100"
"010950","KOSPI100"
"071050","KOSPI100"
"259960","KOSPI100"
"0126Z0","KOSPI100"
"005940","KOSPI100"
"003490","KOSPI100"
"443060","KOSPI100"
"016360","KOSPI100"
"323410","KOSPI100"
"005830","KOSPI100"
"047050","KOSPI100"
"352820","KOSPI100"
"003230","KOSPI100"
"028050","KOSPI100"
"039490","KOSPI100"
"161390","KOSPI100"
"180640","KOSPI100"
"326030","KOSPI100"
"000100","KOSPI100"
"009830","KOSPI100"
"021240","KOSPI100"
"032640","KOSPI100"
"034220","KOSPI100"
"078930","KOSPI100"
"241560","KOSPI100"
"454910","KOSPI100"
"036570","KOSPI100"
"377300","KOSPI100"
"090430","KOSPI100"
"029780","KOSPI100"
"011790","KOSPI100"
"128940","KOSPI100"
"271560","KOSPI100"
"051900","KOSPI100"
"004020","KOSPI100"
"022100","KOSPI100"
"251270","KOSPI100"
"036460","KOSPI100"
"035250","KOSPI100"
"302440","KOSPI100"
"450080","KOSPI100"
"011170","KOSPI100"